ID,Author,Comment
103,@hugorivero8347,y estos personajes son los que dirigen nuestro país vayan a saber lo que no hacen estos políticos de mierda
104,@gercharrua7170,si fuera un país serio y investigasen por enriquecimiento ilícitos abría que hacer nuevas cárceles para políticos y judiciales
105,@matiasleonelgarridoreyes1205,gracias señor z ojalá la gente tenga memoria de todo esto el gobierno más corrupto de la historia del país
106,@serenalavina7823,la justicia lo probó los que tanto pedía renuncien por favor
107,@florbatista3975,ahora pide prision domiciliaria por enfermedad
108,@Gerardo.Straneo.20,así estamos gobernados por personajes que ponen el amigo por sobre todas las cosas no se enteraron que son y están en un lugar que todo lo que digan o hagan determina inmediatamente consecuencias buenas o malas con propios y extraños los propios sus subalternos y gobernados y no respetan su investidura de la cuál el pueblo que los votó cifró en ellos las veces que salieron a apoyar al amigo derraparon y demostraron que lo que criticaban de otros resultando ellos igual o peores o peor aún defendieron a ojos cerrados personajes del cuál él le entregaba la seguridad de su familia siguen sin aprender la virtud es que salen en apariencia indemne de todo el tiempo dirá la verdad de las cosas
109,@aliciarodriguez7801,tienen tanto material de nuestras autoridadesellos no me representan
110,@cristianfernandez6990,es así siempre entre ellos se tapan los crimenes
111,@maurof1975,en mi vida me toco ver todo lo que sucede con este gobierno la verdad que es muy loco todo
112,@alcidesbenitez3707,espero dé corazón que gane quien gané las próximas elecciones se de derecha o de izquierda o lo que sea se investigue todo lo de este nefasto gobierno y porque cinco años toda la corrupción y solo un poquito de personas están en prisión
113,@hebertvillalba1817,me parece insolito que con  delitos graves si  delitos graves lo manden a florida a una carcel bip con todos los lujos y comodidadesa ver quien se hace responsable de esta verguenza eso solo pasa solo aca en este bendito pais con estos pillos
114,@emilceperaza3939,ojalá el la cárcel le den de su medicina
115,@DanielGonzalez-qf7zv,da penapenades
116,@jorgeherrera1360meeetaaalCien,seguirá respaldando el kukito y heber a penades porque dice que lo conoce hace  años
117,@nadiayamila6171,por fin una fiscal decente el gobierno impresentable
118,@RaulGiacomin-eq6ff,lei un mensage que comparto a medias si se trata de reninciar tendrian que deberian todos irse el primero el presidente de algunos mio no
119,@paulo_hernandez,heber pinochin close the ort
120,@elorejano57,los otros que deberían ir presos son heber y el peladilla
121,@alvaroramos6809,este personaje hace  años vive del pueblo y de este narco partido es el mas inocente que ya es decir
122,@sergio8939,esta valiente fiscal lastima que no estuvo en el caso astesiano
123,@marcelosantana6938,yo lo conozco es mi amigoy ahora
124,@nairbarrios5967,las dos caras de heber
125,@mariadelpilarelhordoy8421,a quién le va a creer dijo cuquito a la víctima cuquito a la victimaaaaass
126,@mariadeleon465,bienla justicia ya lo comprobó ahora a la cárcelcon un fuerte abrazo y un besito en la frente penadas
127,@user-mk2dh7cw3m,cuando es una mujer la qué abusa ay lo esconden hasta el fin las denuncias falsas no existen
128,@ivanmoreno8660,delitos pero quien lo defendió el abogado de los simpsons
129,@gabrielgonzalez-rh2vi,qué le darán un año de prisión domiciliaria
130,@hectorlemos1679,si esta fiscal hubiese tenido el caso asteciano hoy estábamos con presidente interino
131,@sheyllavicente7488,es una vergüenza hay que pedir la renuncia de el ministro del interior y del presidente debería renunciar a la banda presidencial y dejar argimon como presidenta por que el fallo mucha corrupción a su alrededor no recuerdo un gobierno con tantas renuncias y a tras de cada una de ellas un acto de corrupción esto es una locura
132,@marcosc11000,los amigos de luisito cuantos van ya
133,@LIBITUM0,un desastre los que votaron estos personajesen definitiva son ellos los que tienen la culpa nunca vi tanta corrupción en mis  años
134,@gonzalosilva2225,esto tiene que recorrer el mundo
135,@victoriaacevedo8134,cuando proteges a los lobos sacrificas a las ovejasuna vergüenza este caradura al comcar se sabía el señor se va a la chacra en florida
136,@fernandotexeira7817,y sr z como está la novela gubernamental al parecer los principales protagonistas están cayendo a pero no sé froten las manos que no termina y no se enojen si los malos terminan protegidos y el pueblo esperando justicia saludos
137,@ivanzapee4541,ya los van a hacer princesas en la cárcel a estos no duras ni un minuto solo en en concar penades
138,@ml2082,y siguen apareciendo delincuentes corrupción naaa
139,@marisapastrana8714,y siguen agregando intelecto
140,@AmazingStuff-ot9fr,si le cree al amigo xq es amigo entonces hay amiguismo
141,@paulsotelo,luis tendria que renunciar y escudarse diciendotrate de buscar gente que piense con el corazon y que le ponga intelecto jajajajaja que vergüenza todo el gobierno esteseguimos siendo tercermundistas porque los politicos no se toman las cosas enserio y en este gobierno es mas claro echale aguasolo oiensan en llenarse los bolsillos
142,@lucianolopez3073,igual me preocupa los hombres que levantan niñas en las avenidas hay un informe de unicef y acá en uruguay no hacen nada
143,@sergiobirriel1040,por fin y si ya no se podia tapar mas mucha gente victimas cuantas pruebas mas son todos malos ellos son buenos tas loco en breve sale delgado diciendo que es culpa del frente o del antel arena jajja fuerza a las victimas y que se pudra en la carcel por chancho que triste pobres los niños loq tuviern que pasar ya les queda poco a estos
144,@graciasweb,información y justicia aunque es sólo una noción esto último
145,@Inteligencia-Humana,y heber qué decir penadés es tu amigo cercano ahora desconfío que vos tengas historias ocultas tan oscuras como la del degenerado de tu amiguito
146,@silviamendez4991,de que se van a disfrazar ahora zin palabras
147,@ZaloUy,y los amigos que dicen ahora
148,@LIBITUM0,muy bien la fiscal
149,@fernandadelfino8401,es terrible y solo  días preso a estos degenerados y capaz que robas una manzana y vas preso años o si la robas de un árbol en un predio te pueden matar justificados por la luc que triste que para la justicia hsya hijos y entrenados
150,@danielhuelmo5807,eso es una fiscal con ovarios
151,@betianaemilia7270,es todo muy grave
152,@EduardoPerez-qi6eq,ahora tiene diabetes problemas al corazon mmmm
153,@user-tu5me6cs9q,ira  meses preso con lo comemocos que son los jueces y las pobres condenas que tiene uru asi esta el pais
154,@javilutotal,espero que en algún momento esto caiga por su propio peso si hubiese sido el frente amplio mamita manijaso
155,@joaquindalessio,la justicia es lenta pero llega
156,@miltonsteciuk4829,la coalisión de gobierno es un gran pozo negro al cual la barométrica hace rato no atiende
157,@user-mk2dh7cw3m,si este país fuera españa ya estaría preso por nada
158,@OmarFalero,es lindo porque se inmolan solos tremendo y terrible en fila india pa la cárcel
159,@rafaelurriza8464,todos persos deberían estar
160,@silvianobel5013,pero siguen siendo amigos con quienes eran sus amigos
161,@madelcarmencorbo8127,todos los años que éste tipo estuvo en el parlamentome dirán que nadie sabía nada
162,@user-pr6lv5ul1j,ira al comcar o al penal de libertad o lo van a mandar a una chacra de lujo
163,@oscarmauricio1820,otro intelectual en el fuego lamentable
164,@josevt6511,es increíble cómo dos figuras tan relevantes del gobierno salieron a defender primero porque representan instrucciones de la república sus vínculos personales quedan de lado y ademas porque era vox populi en muchos ambientes ya habiam existido problemas con un oficial y el muchaco en cuestión y se sabian cosas
165,@jfrusciante6804,a pesar del encubrimiento de su colectividad política la complicidad del presidente y la operación de desviacion desde el ministerio del interior se llegó al fondo del asunto a pesar de todo lo que hicieron para taparlo
